epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,12227.6,0.98234,0.06432,0.03961,0.59001,0.8872,0.79185,0.73958,0.80162,0.56882,0.80704,0.809,0.86835,0.86422,0.91911,0.06512,0.0046,0.60264,0.8861,0.000274148,0.000274148,0.000274148
67,12411.9,0.97802,0.06388,0.04065,0.58633,0.88791,0.7972,0.73909,0.80038,0.56689,0.82394,0.79429,0.86866,0.86454,0.92358,0.06383,0.00332,0.60411,0.88818,0.000266535,0.000266535,0.000266535
68,12592.8,0.96923,0.06361,0.03774,0.58396,0.8842,0.78998,0.7501,0.80605,0.57026,0.82011,0.80447,0.87,0.86598,0.91817,0.0635,0.00262,0.5955,0.88698,0.000258922,0.000258922,0.000258922
69,12777,0.9705,0.06254,0.03916,0.57874,0.88485,0.79858,0.74221,0.80551,0.56986,0.82142,0.81045,0.87068,0.86675,0.92207,0.0625,0.00378,0.59536,0.89056,0.000251309,0.000251309,0.000251309
70,12960.2,0.96508,0.06268,0.04015,0.57365,0.88615,0.79502,0.74905,0.80512,0.57014,0.82571,0.80667,0.87166,0.86778,0.92327,0.06224,0.00307,0.59379,0.89024,0.000243696,0.000243696,0.000243696
71,13143.7,0.96986,0.0623,0.0398,0.57628,0.8841,0.79502,0.74443,0.80056,0.56742,0.82422,0.80465,0.86853,0.86436,0.92577,0.06216,0.00309,0.6009,0.89157,0.000236083,0.000236083,0.000236083
72,13335.9,0.96369,0.06254,0.03741,0.56864,0.88134,0.80247,0.73979,0.80225,0.57001,0.82864,0.80398,0.86919,0.86488,0.92232,0.06181,0.00266,0.59869,0.89053,0.00022847,0.00022847,0.00022847
73,13581.2,0.96189,0.06301,0.03893,0.56845,0.88191,0.80389,0.7433,0.80741,0.57329,0.82662,0.80833,0.8731,0.86894,0.92075,0.06203,0.00286,0.59633,0.88917,0.000220857,0.000220857,0.000220857
74,13813.6,0.96685,0.06366,0.0391,0.56783,0.88222,0.78813,0.75046,0.80292,0.56966,0.8242,0.81113,0.87019,0.86591,0.92747,0.06145,0.00258,0.60576,0.89224,0.000213244,0.000213244,0.000213244
75,14056.1,0.9624,0.06304,0.03959,0.56414,0.87894,0.79959,0.75014,0.80368,0.57081,0.82963,0.80906,0.87176,0.86757,0.92233,0.06212,0.00445,0.60254,0.89113,0.000205631,0.000205631,0.000205631
76,14330.3,0.95977,0.06096,0.03938,0.56444,0.88279,0.79466,0.7551,0.80513,0.57069,0.82449,0.81443,0.8709,0.86679,0.91806,0.0624,0.00368,0.59887,0.88856,0.000198018,0.000198018,0.000198018
77,14658.5,0.95482,0.0617,0.03855,0.55685,0.87885,0.79351,0.75165,0.80351,0.57212,0.82319,0.81376,0.87039,0.86621,0.91533,0.06278,0.00264,0.59502,0.88808,0.000190404,0.000190404,0.000190404
78,14985,0.95411,0.06211,0.03899,0.5596,0.87855,0.79982,0.74415,0.80235,0.57053,0.822,0.81084,0.86891,0.86473,0.92278,0.06243,0.00293,0.59922,0.89236,0.000182791,0.000182791,0.000182791
79,15294.2,0.94768,0.06095,0.03695,0.54925,0.87654,0.79678,0.75209,0.80656,0.57329,0.82304,0.81656,0.87292,0.86876,0.91634,0.06269,0.00253,0.58944,0.88926,0.000175178,0.000175178,0.000175178
80,15616.6,0.94717,0.06007,0.03816,0.55449,0.87892,0.79598,0.75222,0.80849,0.57383,0.82507,0.81159,0.87391,0.86987,0.91542,0.06199,0.00195,0.58677,0.88925,0.000167565,0.000167565,0.000167565
81,15933.7,0.93701,0.06026,0.03864,0.54906,0.87598,0.7958,0.75119,0.80642,0.57355,0.82471,0.81322,0.87299,0.86899,0.91656,0.06155,0.00228,0.59211,0.88932,0.000159952,0.000159952,0.000159952
82,16258.7,0.94509,0.0603,0.0385,0.54636,0.87564,0.78378,0.76323,0.80621,0.57386,0.82102,0.81714,0.87196,0.86801,0.9165,0.06192,0.00217,0.59502,0.89185,0.000152339,0.000152339,0.000152339
83,16582.3,0.94473,0.0598,0.03671,0.54499,0.87612,0.79821,0.74968,0.80661,0.57386,0.82091,0.81398,0.87265,0.86877,0.91746,0.06123,0.00249,0.5912,0.89213,0.000144726,0.000144726,0.000144726
84,16902.9,0.92807,0.05818,0.03589,0.53942,0.87281,0.80503,0.7478,0.8087,0.57541,0.827,0.81557,0.87361,0.86965,0.91638,0.06143,0.00186,0.5878,0.89105,0.000137113,0.000137113,0.000137113
85,17234.6,0.93394,0.05939,0.03632,0.53956,0.87484,0.80021,0.75309,0.80902,0.5747,0.83255,0.81344,0.875,0.87101,0.91608,0.06129,0.0018,0.58395,0.89165,0.0001295,0.0001295,0.0001295
86,17533.9,0.93604,0.05964,0.03698,0.53862,0.87299,0.79861,0.75259,0.80706,0.5747,0.8231,0.82086,0.87339,0.86953,0.91676,0.06153,0.00193,0.58447,0.89202,0.000121887,0.000121887,0.000121887
87,17848.2,0.92421,0.05789,0.03905,0.53445,0.87441,0.80923,0.7413,0.80543,0.57394,0.82039,0.81691,0.87254,0.86854,0.91658,0.06137,0.00211,0.58412,0.89146,0.000114273,0.000114273,0.000114273
88,18137.6,0.93297,0.0596,0.03671,0.53519,0.87194,0.80341,0.74716,0.80766,0.57418,0.82381,0.81203,0.87413,0.87008,0.91633,0.06107,0.00197,0.58146,0.89043,0.00010666,0.00010666,0.00010666
89,18428.3,0.92716,0.05812,0.0364,0.5334,0.87341,0.8005,0.74878,0.80515,0.57302,0.82097,0.81424,0.87256,0.86847,0.91684,0.06136,0.00206,0.58332,0.89143,9.90472e-05,9.90472e-05,9.90472e-05
90,18736.4,0.91727,0.05709,0.03743,0.52628,0.87121,0.7946,0.75293,0.80586,0.57413,0.82543,0.81484,0.87397,0.86975,0.91613,0.0617,0.00254,0.58238,0.89227,9.14341e-05,9.14341e-05,9.14341e-05
91,19027.6,0.88296,0.0543,0.01475,0.49738,0.85388,0.79161,0.74702,0.80159,0.57004,0.82079,0.81169,0.8692,0.86523,0.92265,0.06201,0.00224,0.59036,0.89732,8.3821e-05,8.3821e-05,8.3821e-05
92,19311.8,0.87017,0.05248,0.01288,0.48521,0.85152,0.79139,0.75085,0.80226,0.57109,0.81219,0.81877,0.87064,0.86669,0.92283,0.06216,0.00136,0.58878,0.89715,7.62079e-05,7.62079e-05,7.62079e-05
93,19598.2,0.86733,0.0528,0.0141,0.48274,0.84992,0.78906,0.75294,0.80439,0.57114,0.81438,0.82036,0.87161,0.86754,0.92279,0.06216,0.00113,0.58782,0.89743,6.85948e-05,6.85948e-05,6.85948e-05
94,19891.9,0.869,0.0525,0.01316,0.48126,0.85063,0.80207,0.74526,0.80619,0.57255,0.8144,0.82122,0.8717,0.86786,0.92275,0.06208,0.00104,0.58647,0.89543,6.09817e-05,6.09817e-05,6.09817e-05
95,20177.3,0.86146,0.05165,0.01421,0.47827,0.84938,0.8015,0.74537,0.80527,0.57307,0.82552,0.81374,0.87279,0.86864,0.92288,0.06212,0.00088,0.58509,0.89662,5.33686e-05,5.33686e-05,5.33686e-05
96,20469,0.8572,0.05163,0.01368,0.47408,0.84847,0.79948,0.74581,0.80375,0.57236,0.82564,0.81213,0.87233,0.86811,0.92368,0.06204,0.00089,0.58468,0.89739,4.57555e-05,4.57555e-05,4.57555e-05
97,20758.1,0.85693,0.05176,0.01292,0.4725,0.84747,0.80305,0.74414,0.80413,0.57232,0.83205,0.80649,0.8721,0.86785,0.92241,0.06195,0.00091,0.58379,0.8967,3.81424e-05,3.81424e-05,3.81424e-05
98,21053.2,0.84831,0.05069,0.0133,0.46826,0.84591,0.80717,0.74103,0.80569,0.57293,0.82728,0.81314,0.87284,0.86855,0.92292,0.06207,0.00094,0.5831,0.89752,3.05293e-05,3.05293e-05,3.05293e-05
99,21367.7,0.85635,0.05134,0.01486,0.46878,0.84844,0.80116,0.74729,0.80395,0.572,0.82538,0.81368,0.87251,0.86827,0.92275,0.06187,0.00098,0.58381,0.89741,2.29162e-05,2.29162e-05,2.29162e-05
100,21671,0.85074,0.05183,0.01137,0.4676,0.84677,0.80699,0.74277,0.80453,0.57225,0.82778,0.81155,0.87125,0.8673,0.92285,0.06215,0.00095,0.58498,0.89753,1.53031e-05,1.53031e-05,1.53031e-05
